snap_index,cam0x,cam0y,cam1x,cam1y,cam3x,camy3,robx,roby,robz
236,0.515625,0.40208333333333335,0.521875,0.3083333333333333,0.440625,0.40625,0.06331472,-0.16217096,-0.20759483
237,0.603125,0.45625,0.4703125,0.24375,0.3921875,0.475,0.09884187,-0.3528451,-0.2232358
238,0.6640625,0.50625,0.4484375,0.21875,0.3484375,0.4958333333333334,0.12396785,-0.46784705,-0.25676867
239,0.6859375,0.5479166666666667,0.45,0.19583333333333333,0.315625,0.5083333333333333,0.17644732,-0.5400703,-0.2792182
240,0.66875,0.5791666666666667,0.4625,0.18958333333333333,0.2984375,0.5104166666666666,0.22904804,-0.5580308,-0.2940364
241,0.6078125,0.6,0.509375,0.21458333333333326,0.296875,0.4895833333333333,0.28618732,-0.49227124,-0.31390947
242,0.540625,0.5958333333333333,0.546875,0.22291666666666668,0.3078125,0.4708333333333333,0.33509445,-0.42365366,-0.3034005
243,0.5015625,0.5708333333333333,0.565625,0.2520833333333333,0.328125,0.4604166666666666,0.31445986,-0.339892,-0.2952088
244,0.4828125,0.5270833333333333,0.575,0.28125,0.3609375,0.45,0.2600164,-0.2558915,-0.27885377
245,0.4890625,0.475,0.55625,0.30625,0.421875,0.4166666666666667,0.16958755,-0.19589642,-0.2551973
246,0.5171875,0.41041666666666665,0.5140625,0.3333333333333333,0.5015625,0.39375,0.036993474,-0.14644946,-0.22563128
247,0.559375,0.3541666666666667,0.459375,0.3645833333333333,0.56875,0.3958333333333333,-0.10960867,-0.11415888,-0.20553933
248,0.5921875,0.28541666666666665,0.390625,0.4,0.6546875,0.39166666666666666,-0.27788475,-0.067765206,-0.17264841
249,0.6296875,0.22291666666666668,0.31875,0.43333333333333335,0.728125,0.3875,-0.44296008,-0.033181854,-0.14339595
250,0.6546875,0.21041666666666667,0.28125,0.45,0.7609375,0.3895833333333333,-0.51308167,-0.036323205,-0.14288406
251,0.6703125,0.20208333333333334,0.275,0.44166666666666665,0.7578125,0.3958333333333333,-0.52394456,-0.050002117,-0.1362632
